T [K]	Molar Heat Capacity (cP) [J/(mol*K)]
3.00	1.25
5.493	2.2594
5.651	2.4644
5.881	2.389
6.282	2.4853
7.014	3.3346
8.061	3.6945
9.409	4.498
9.741	4.774
10.8	5.293
11.818	6.397
11.904	6.259
12.065	6.514
12.816	7.393
13.55	8.393
14.046	9.054
15.137	10.736
15.48	11.606
15.918	12.155
16.55	13.807
16.61	14.067
16.74	14.062
17.74	17.602
17.78	17.74
17.822	17.284
18.274	18.523
18.56	21.564
18.73	22.016
19.17	25.74
19.315	25.543
19.32	25.953
19.47	30.644
19.78	44.56
19.83	32.92
19.94	45.65
20.003	37.21
20.587	40.786
20.697	26.38
20.71	20.25
21.05	19.355
21.06	18.845
21.35	18.096
22.25	19.874
22.48	19.418
23.13	20.008
23.536	20.497
24.22	20.874
24.65	20.55
25.52	21.727
25.804	21.75
28.2	23.175
30.79	24.644
33.47	26.096
36.27	27.485
39.25	28.84
50.57	32.63
52.64	33.44
54.77	34.15
56.81	34.757
58.78	35.305
60.69	35.82
85.1	42.34
88.44	43.555
90.37	55.69
93.39	52.93
100	33.26
111.67	33.276
120	33.28
140	33.29
160	33.316
180	33.38
200	33.51
220	33.73
240	34.06
255	34.39
260	34.506
273.15	34.87
273.16	34.88
280	35.08
283.15	35.19
293.15	35.52
294.25	35.564
298.15	35.73
298.16	35.65
300	35.73
303.15	35.94
310.95	36.22
313.15	36.32
320	36.58
323.15	36.736
327.55	36.93
333.15	37.196
340	37.475
344.25	37.7
353.15	38.2
360	38.456
360.95	38.556
373.15	39.204
377.55	39.44
380	39.504
400	40.54
450	43.5
473.15	44.98
500	46.4
